"Id","HomePoints","AwayPoints"
"401524004","43","10"
"401524005","0","29"
"401524006","31","17"
"401524007","43","35"
"401524008","55","10"
"401524009","26","9"
"401524010","23","30"
"401524011","59","7"
"401524012","31","7"
"401524013","64","21"
"401524014","28","42"
"401524015","42","6"
"401524016","20","21"
"401524017","14","7"
"401524018","59","32"
"401524019","38","35"
"401524020","21","7"
"401524021","24","31"
"401524022","24","21"
"401524023","41","48"
"401524024","6","42"
"401524025","43","41"
"401524026","24","27"
"401524027","40","52"
"401524028","25","17"
"401524029","43","46"
"401524030","6","44"
"401524031","48","20"
"401524032","36","24"
"401524033","34","14"
"401524034","36","33"
"401524035","38","24"
"401524036","7","42"
"401524037","32","34"
"401524038","15","7"
"401524039","27","24"
"401524040","38","27"
"401524041","49","50"
"401524042","33","42"
"401524043","28","16"
"401524044","6","35"
"401524045","27","10"
"401524046","19","26"
"401524047","63","19"
"401524048","42","52"
"401524049","55","3"
"401524050","7","10"
"401524051","42","39"
"401524052","31","34"
"401524053","36","27"
"401524054","62","17"
"401524055","7","17"
"401524056","35","28"
"401524057","56","14"
"401524058","42","18"
"401524059","13","49"
"401524060","20","22"
"401524061","15","27"
"401524062","20","38"
"401524063","31","7"
"401524064","23","59"
"401524065","23","56"
"401524066","7","33"
"401524067","23","17"
"401524068","24","21"
"401525434","42","3"
"401525435","56","3"
"401525436","24","45"
"401525437","41","17"
"401525438","14","21"
"401525439","33","20"
"401525440","58","7"
"401525441","31","23"
"401525442","45","7"
"401525450","30","41"
"401525451","24","21"
"401525461","37","17"
"401525462","34","39"
"401525463","38","3"
"401525464","24","27"
"401525465","45","7"
"401525466","65","0"
"401525467","36","17"
"401525468","28","7"
"401525469","56","0"
"401525490","31","28"
"401525491","66","17"
"401525492","42","7"
"401525493","66","13"
"401525494","48","13"
"401525495","40","34"
"401525496","21","27"
"401525497","48","7"
"401525498","35","36"
"401525499","48","7"
"401525500","29","31"
"401525501","48","14"
"401525502","45","7"
"401525503","17","6"
"401525504","24","27"
"401525505","21","24"
"401525506","56","28"
"401525507","24","31"
"401525508","16","30"
"401525509","7","41"
"401525510","24","41"
"401525511","24","17"
"401525512","10","13"
"401525513","27","24"
"401525514","14","31"
"401525515","27","38"
"401525516","38","21"
"401525517","17","12"
"401525518","39","17"
"401525519","20","23"
"401525520","40","7"
"401525521","48","41"
"401525522","27","13"
"401525523","24","3"
"401525524","41","3"
"401525525","38","21"
"401525526","41","31"
"401525527","30","13"
"401525528","23","38"
"401525529","28","20"
"401525530","38","20"
"401525531","27","31"
"401525532","21","17"
"401525533","38","10"
"401525534","24","17"
"401525535","23","0"
"401525536","16","41"
"401525537","46","42"
"401525538","29","26"
"401525539","24","21"
"401525540","10","17"
"401525541","7","24"
"401525542","17","45"
"401525543","34","3"
"401525544","20","6"
"401525545","59","7"
"401525546","31","24"
"401525547","22","48"
"401525548","42","21"
"401525549","47","45"
"401525550","27","20"
"401525551","6","26"
"401525552","28","13"
"401525553","24","16"
"401525554","31","20"
"401525555","30","27"
"401525556","58","13"
"401525557","31","22"
"401525558","31","38"
"401525559","28","35"
"401525560","20","45"
"401525561","30","19"
"401525562","39","20"
"401525563","35","31"
"401525564","17","55"
"401525815","48","17"
"401525816","56","6"
"401525817","31","42"
"401525818","66","13"
"401525819","17","14"
"401525820","30","9"
"401525821","45","0"
"401525822","73","0"
"401525823","27","13"
"401525824","37","10"
"401525825","35","33"
"401525827","16","18"
"401525828","41","16"
"401525829","42","13"
"401525830","28","11"
"401525831","43","41"
"401525832","41","6"
"401525833","56","17"
"401525834","30","7"
"401525835","24","31"
"401525836","13","36"
"401525837","24","31"
"401525838","10","7"
"401525839","7","33"
"401525840","31","10"
"401525841","41","3"
"401525842","17","66"
"401525843","48","14"
"401525844","6","38"
"401525845","6","20"
"401525846","34","27"
"401525847","38","27"
"401525848","44","31"
"401525849","34","17"
"401525850","20","13"
"401525851","35","27"
"401525852","50","20"
"401525853","21","24"
"401525854","40","14"
"401525855","49","28"
"401525856","35","36"
"401525857","29","21"
"401525858","14","39"
"401525859","27","14"
"401525860","51","22"
"401525861","30","34"
"401525862","41","39"
"401525863","10","30"
"401525864","39","32"
"401525865","44","11"
"401525866","21","38"
