"Id","HomePoints","AwayPoints"
"401013088","48","7"
"401013089","34","14"
"401013090","41","0"
"401013091","24","13"
"401013092","33","7"
"401013094","42","13"
"401013095","33","17"
"401013096","3","24"
"401013097","62","14"
"401013098","7","21"
"401013099","36","26"
"401013100","49","38"
"401013101","31","7"
"401013102","77","0"
"401013103","41","19"
"401013104","41","7"
"401013105","6","51"
"401013106","62","10"
"401013107","62","17"
"401013108","51","20"
"401013109","34","41"
"401013110","38","7"
"401013111","30","7"
"401013112","24","19"
"401013113","20","17"
"401013114","24","49"
"401013117","45","31"
"401013119","30","13"
"401013120","21","49"
"401013121","55","13"
"401013122","37","19"
"401013123","27","3"
"401013124","31","17"
"401013125","38","35"
"401013126","20","37"
"401013127","51","21"
"401013128","49","35"
"401013129","27","56"
"401013130","45","35"
"401013131","27","23"
"401013132","14","31"
"401013133","24","28"
"401013134","63","17"
"401013135","35","21"
"401013136","45","14"
"401013137","56","24"
"401013138","31","66"
"401013139","28","23"
"401013140","3","63"
"401013141","28","27"
"401013142","44","37"
"401013143","23","45"
"401013144","38","20"
"401013145","14","28"
"401013146","16","13"
"401013147","19","22"
"401013148","19","14"
"401013149","41","7"
"401013150","14","28"
"401013151","38","17"
"401013152","40","37"
"401013153","28","49"
"401013154","27","14"
"401013155","10","59"
"401013156","54","45"
"401013157","35","56"
"401013158","31","21"
"401013159","51","41"
"401013160","13","23"
"401013161","21","31"
"401013162","77","16"
"401013163","12","20"
"401013164","47","28"
"401013165","28","38"
"401013166","24","41"
"401013167","23","27"
"401013168","54","23"
"401013169","7","27"
"401013170","42","35"
"401013171","42","13"
"401013172","27","21"
"401013173","52","22"
"401013174","45","24"
"401013175","22","21"
"401013176","35","6"
"401013177","30","27"
"401013178","10","52"
"401013179","14","38"
"401013180","49","26"
"401013181","13","34"
"401013182","36","3"
"401013183","34","31"
"401013184","21","42"
"401013185","7","59"
"401013186","24","3"
"401013187","28","34"
"401013188","41","42"
"401013189","22","44"
"401013319","28","21"
"401013320","38","35"
"401013321","34","41"
"401013322","77","0"
"401013323","63","49"
"401013324","17","41"
"401013325","34","42"
"401013326","52","17"
"401013327","45","41"
"401013328","48","10"
"401013329","21","14"
"401013330","26","3"
"401013331","30","14"
"401013332","53","28"
"401013333","41","10"
"401013334","14","24"
"401013335","15","37"
"401013337","19","24"
"401013338","28","42"
"401013339","41","24"
"401013340","34","31"
"401013341","36","31"
"401013342","27","31"
"401013343","34","39"
"401013344","31","17"
"401013345","21","31"
"401013346","49","6"
"401013347","26","27"
"401013348","49","20"
"401013349","45","38"
"401013350","63","10"
"401013351","22","10"
"401013352","19","20"
"401013353","44","47"
"401013354","34","3"
"401013355","45","14"
"401013356","21","24"
"401013357","63","15"
"401013358","34","13"
"401013359","63","24"
"401013360","49","31"
"401013361","58","42"
"401013362","42","58"
"401013363","13","24"
"401013364","17","22"
"401013365","62","59"
"401013366","16","35"
"401013367","38","14"
"401013368","28","21"
"401013369","13","42"
"401013370","3","52"
"401013371","31","30"
"401013372","22","37"
"401013373","17","14"
"401013374","31","13"
"401013375","28","14"
"401013376","17","10"
"401013377","24","16"
"401013437","7","29"
"401013438","60","13"
"401013439","25","42"
"401013440","20","27"
"401013441","49","41"
"401013442","66","38"
"401013443","31","48"
"401013444","27","20"
"401013445","52","42"
"401013446","45","10"
"401013447","28","21"
"401013448","52","10"
"401013450","7","47"
"401013451","43","52"
"401013452","22","16"
"401013453","48","41"
"401013466","47","10"
"401013489","58","17"
"401013490","55","13"
"401013491","44","21"
"401014972","31","28"
"401014973","34","10"
"401014974","26","30"
"401014975","28","35"
"401014976","46","23"
"401014977","27","45"
"401014978","55","7"
"401014979","52","0"
"401014980","10","30"
"401014981","9","45"
"401014982","20","28"
"401014983","33","26"
"401014984","54","17"
"401014985","32","16"
"401014986","61","37"
"401014987","58","16"
"401014988","43","29"
"401014989","20","21"
"401014990","47","24"
"401014991","52","24"
"401014992","28","31"
"401014993","28","25"
"401014994","49","28"
"401014996","31","24"
"401014998","40","22"
"401014999","25","21"
"401015000","20","28"
"401015001","28","7"
"401015002","55","9"
"401015003","25","24"
"401015004","27","29"
"401015005","17","20"
"401015006","37","35"
"401015007","30","21"
"401015008","52","33"
"401015009","7","28"
"401015010","24","34"
"401015011","24","27"
"401015012","3","20"
"401015013","40","14"
"401015014","24","21"
"401015015","3","31"
"401015016","20","42"
"401015017","30","7"
"401015018","0","42"
"401015019","21","13"
"401015020","36","17"
"401015021","31","7"
"401015022","31","24"
"401015023","29","21"
"401015024","34","37"
"401015025","27","17"
"401015026","20","17"
"401015027","17","38"
"401015028","13","21"
"401015029","17","51"
"401015030","41","17"
"401015031","0","19"
"401015032","14","49"
"401015033","26","24"
"401015034","29","10"
"401015035","26","34"
"401015036","52","3"
"401015037","30","13"
"401015038","7","45"
"401015039","34","15"
"401015040","28","13"
"401015041","32","48"
"401015042","34","31"
"401015043","26","23"
"401015044","35","42"
"401015045","41","38"
"401015046","21","20"
"401015047","23","0"
"401015048","77","14"
"401015049","40","16"
"401015050","24","27"
"401015051","25","28"
"401015052","15","30"
"401015053","27","3"
"401015054","21","24"
"401015055","27","13"
"401015056","7","39"
"401016406","30","3"
"401016407","20","45"
"401016408","49","23"
"401016409","6","7"
"401016410","21","16"
"401019470","17","56"
"401019472","34","14"
"401019473","17","19"
"401019474","66","14"
"401019475","59","41"
"401019476","38","27"
"401019477","12","42"
"401019478","29","36"
"401019479","22","21"
"401019480","42","17"
"401019481","38","0"
"401019482","0","21"
"401019483","62","7"
"401019484","59","22"
"401019485","63","7"
"401019486","56","49"
"401019487","51","21"
"401019488","20","29"
"401019489","31","17"
"401019490","56","36"
"401019491","34","30"
"401019492","20","13"
"401019493","70","14"
"401019494","52","35"
"401019495","31","30"
"401019496","40","24"
"401019497","7","49"
"401019498","63","27"
"401019499","41","26"
"401019500","48","20"
"401019501","37","21"
"401019502","55","14"
"401019503","49","6"
"401019504","35","7"
"401019505","24","25"
"401019506","30","31"
"401019507","20","42"
"401019508","17","24"
"401019509","10","37"
"401019510","24","17"
"401019511","38","30"
"401019512","36","49"
"401019513","23","27"
"401019514","20","26"
"401019515","57","36"
"401019516","17","24"
"401019517","52","40"
"401019518","42","0"
"401019519","49","19"
"401019520","41","59"
"401019521","15","41"
"401019522","45","31"
"401019523","35","24"
"401019524","35","23"
"401019525","50","62"
"401019526","24","18"
"401019527","49","59"
"401019528","47","21"
"401019529","48","17"
"401019530","18","28"
"401019531","38","13"
"401019532","55","21"
"401019533","27","17"
"401019534","37","29"
"401019535","10","38"
"401019536","56","6"
"401019537","52","31"
"401019538","7","57"
"401019539","29","28"
"401019540","27","24"
"401020671","42","6"
"401020672","51","17"
