"Id","HomePoints","AwayPoints"
"401282707","13","41"
"401282708","13","24"
"401282709","31","16"
"401282710","34","6"
"401282711","14","45"
"401282714","30","22"
"401282715","17","20"
"401282716","13","9"
"401282717","18","20"
"401282718","0","24"
"401282719","14","20"
"401282720","6","14"
"401282721","33","23"
"401282722","47","14"
"401282723","34","6"
"401282724","56","14"
"401282725","24","38"
"401282726","38","35"
"401282727","29","7"
"401282728","3","38"
"401282729","24","0"
"401282730","7","54"
"401282731","15","20"
"401282732","14","35"
"401282753","44","7"
"401282754","17","27"
"401282755","30","7"
"401282756","24","14"
"401282757","12","17"
"401282758","23","20"
"401282759","14","51"
"401282760","7","24"
"401282761","21","28"
"401282762","27","22"
"401282763","27","7"
"401282764","30","24"
"401282765","37","16"
"401282766","16","40"
"401282767","34","16"
"401282768","14","31"
"401282769","66","17"
"401282770","18","59"
"401282771","40","21"
"401282772","47","14"
"401282773","31","10"
"401282774","63","10"
"401282775","20","13"
"401282776","17","38"
"401282777","37","33"
"401282778","29","32"
"401282779","33","7"
"401282780","17","21"
"401282781","42","27"
"401282782","21","38"
"401282783","42","14"
"401282784","23","20"
"401282785","30","27"
"401282786","56","7"
"401282787","40","29"
"401282788","13","31"
"401282789","31","45"
"401282790","31","26"
"401282791","0","30"
"401282792","10","14"
"401282793","13","20"
"401282794","23","13"
"401282795","14","41"
"401282796","30","23"
"401282797","28","3"
"401282798","23","16"
"401282799","17","26"
"401282800","56","7"
"401282801","23","28"
"401282803","35","28"
"401282804","24","6"
"401282805","35","6"
"401282806","35","7"
"401282807","21","7"
"401282808","14","32"
"401282809","28","35"
"401282810","41","20"
"401282811","59","7"
"401282812","59","31"
"401282813","13","52"
"401282814","33","24"
"401282815","10","16"
"401282816","44","13"
"401282817","38","17"
"401282818","28","0"
"401282819","30","21"
"401282820","0","49"
"401282821","13","30"
"401282822","61","14"
"401282823","45","13"
"401282824","3","52"
"401282825","34","7"
"401282826","20","14"
"401286187","45","0"
"401286188","28","38"
"401286189","52","21"
"401286190","22","24"
"401286191","27","13"
"401286192","21","15"
"401286207","62","0"
"401286293","49","17"
"401286294","48","7"
"401286295","13","21"
"401286296","31","28"
"401286297","62","17"
"401286298","14","42"
"401286299","16","31"
"401286300","28","42"
"401286301","53","3"
"401286302","7","45"
"401286303","22","35"
"401286304","10","35"
"401286305","33","17"
"401286306","44","27"
"401287886","21","38"
"401287887","16","10"
"401287888","17","14"
"401287889","24","7"
"401287890","23","16"
"401287891","45","3"
"401287892","38","18"
"401287893","20","29"
"401287894","40","35"
"401287895","66","7"
"401287896","49","22"
"401287897","31","23"
"401287898","76","0"
"401287899","28","23"
"401287900","34","32"
"401287901","28","22"
"401287902","66","0"
"401287903","20","21"
"401287904","7","45"
"401287905","38","17"
"401287906","3","48"
"401287907","31","29"
"401287908","16","13"
"401287909","31","20"
"401287910","34","42"
"401287911","70","35"
"401287912","59","7"
"401287913","31","37"
"401287914","24","14"
"401287915","27","32"
"401287916","20","23"
"401287917","45","20"
"401287918","48","55"
"401287919","31","52"
"401287920","38","24"
"401287921","14","41"
"401287922","20","33"
"401287923","52","31"
"401287924","24","32"
"401287925","24","21"
"401287926","23","35"
"401287927","17","29"
"401287928","24","25"
"401287929","31","24"
"401287930","31","12"
"401287931","52","21"
"401287932","55","3"
"401287933","38","31"
"401287934","30","7"
"401287935","10","35"
"401287936","30","28"
"401287937","3","24"
"401287938","27","14"
"401287939","34","17"
"401287940","63","17"
"401287941","56","57"
"401287942","41","38"
"401287943","10","20"
"401287944","28","21"
"401287945","31","28"
"401287946","0","23"
"401287947","31","23"
"401287948","27","24"
"401287949","48","14"
"401287950","28","34"
"401287951","37","33"
"401287952","22","17"
"401287953","16","21"
"401300993","33","19"
"401300994","17","19"
"401300995","36","31"
"401300996","49","14"
"401300997","42","17"
"401300998","56","9"
"401300999","24","45"
"401301000","69","20"
"401301001","63","14"
"401301002","42","7"
"401301003","50","55"
"401301004","3","23"
"401301005","45","0"
"401301006","38","17"
"401301007","31","28"
"401301008","28","20"
"401301009","35","27"
"401301010","41","7"
"401301011","41","34"
"401301012","10","45"
"401301013","34","30"
"401301014","52","29"
"401301015","34","31"
"401301016","41","17"
"401301017","22","40"
"401301018","52","3"
"401301019","20","16"
"401301020","35","29"
"401301021","24","31"
"401301022","35","17"
"401301023","56","21"
"401301024","31","32"
"401301025","55","26"
"401301026","24","7"
"401301027","20","27"
"401301028","31","24"
"401301029","34","14"
"401301030","17","20"
"401301031","7","49"
"401301032","12","31"
"401301033","29","14"
"401301034","44","37"
"401301035","45","3"
"401301036","14","10"
"401301037","28","20"
"401301038","42","54"
"401301039","28","25"
"401301040","28","45"
"401301041","55","28"
"401301042","29","30"
