Model,Train Accuracy,2025 Test Accuracy,2025 Test AUC
SVM,0.7743042317956539,0.7083333333333334,0.787347056878307
Logistic Regression,0.776591688905833,0.7147435897435898,0.7864996693121693
Gradient Boosting,0.8208158597026306,0.7147435897435898,0.7853835978835979
Random Forest,0.8791460160121998,0.7019230769230769,0.7706266534391535
Naive Bayes,0.7316050324056423,0.6891025641025641,0.7478505291005292
