"Id","HomePoints","AwayPoints"
"401403853","10","63"
"401403854","55","0"
"401403855","31","24"
"401403856","42","16"
"401403857","29","26"
"401403858","49","3"
"401403859","37","13"
"401403860","28","10"
"401403861","49","23"
"401403863","35","14"
"401403864","59","10"
"401403865","31","0"
"401403866","42","31"
"401403867","24","23"
"401403868","19","20"
"401403869","44","30"
"401403870","24","16"
"401403871","16","26"
"401403872","33","0"
"401403873","65","17"
"401403874","59","3"
"401403875","17","39"
"401403876","40","12"
"401403877","27","34"
"401403878","14","17"
"401403879","25","45"
"401403880","63","7"
"401403881","38","27"
"401403882","12","41"
"401403883","31","28"
"401403884","31","0"
"401403885","31","16"
"401403886","0","42"
"401403887","34","17"
"401403888","7","48"
"401403889","63","6"
"401403890","17","9"
"401403891","28","38"
"401403892","55","3"
"401403893","23","21"
"401403894","17","14"
"401403895","39","22"
"401403896","31","23"
"401403897","38","0"
"401403898","35","27"
"401403899","45","14"
"401403901","38","33"
"401403902","26","49"
"401403903","17","21"
"401403904","52","17"
"401403905","22","19"
"401403906","42","24"
"401403907","22","26"
"401403908","50","10"
"401403909","24","20"
"401403910","24","17"
"401403911","42","10"
"401403912","14","24"
"401403913","13","40"
"401403914","40","17"
"401403915","28","52"
"401403916","35","52"
"401403917","35","45"
"401403918","55","0"
"401403919","27","17"
"401403920","48","34"
"401403921","52","49"
"401403922","30","6"
"401403923","45","20"
"401403924","17","14"
"401403925","30","24"
"401403926","65","24"
"401403927","27","41"
"401403928","42","20"
"401403929","10","23"
"401403930","44","6"
"401403931","28","31"
"401403932","19","21"
"401403933","27","13"
"401403934","32","31"
"401403935","39","33"
"401403936","17","21"
"401403937","24","41"
"401403938","27","38"
"401403939","10","13"
"401403940","13","10"
"401403941","38","6"
"401403942","21","24"
"401403943","24","30"
"401403944","19","45"
"401403945","66","24"
"401403946","34","0"
"401403947","42","27"
"401403949","6","16"
"401403951","56","7"
"401403952","45","14"
"401403953","63","38"
"401403954","20","3"
"401403955","31","24"
"401403956","22","24"
"401403957","49","27"
"401403958","45","38"
"401403959","37","14"
"401403960","26","13"
"401403961","29","27"
"401403962","30","31"
"401403963","38","23"
"401403964","0","56"
"401403965","40","3"
"401403966","13","38"
"401403967","20","38"
"401403968","34","13"
"401403969","34","17"
"401403970","41","10"
"401403971","45","17"
"401403973","45","20"
"401403974","24","17"
"401403975","34","17"
"401403976","20","14"
"401403977","41","10"
"401403978","70","14"
"401403979","32","35"
"401403980","28","41"
"401403981","45","7"
"401403982","73","7"
