"Id","HomePoints","AwayPoints"
"400933827","24","7"
"400933828","49","7"
"400933829","41","7"
"400933830","17","33"
"400933831","31","10"
"400933832","17","24"
"400933833","27","0"
"400933834","47","27"
"400933835","49","0"
"400933836","72","43"
"400933837","35","28"
"400933838","45","44"
"400933839","6","28"
"400933840","41","42"
"400933841","41","10"
"400933842","7","28"
"400933843","14","6"
"400933845","19","20"
"400933846","27","16"
"400933847","45","10"
"400933848","45","23"
"400933849","21","57"
"400933850","13","31"
"400933851","42","7"
"400933852","24","14"
"400933853","42","0"
"400933854","41","23"
"400933855","24","10"
"400933856","26","20"
"400933857","42","14"
"400933858","27","16"
"400933859","37","7"
"400933860","3","35"
"400933861","13","23"
"400933862","45","21"
"400933863","14","7"
"400933864","43","50"
"400933865","31","3"
"400933866","27","28"
"400933867","35","26"
"400933868","14","51"
"400933869","17","16"
"400933870","17","13"
"400933871","0","59"
"400933872","66","3"
"400933873","42","24"
"400933874","49","10"
"400933875","38","24"
"400933876","24","20"
"400933877","21","24"
"400933878","0","41"
"400933879","24","17"
"400933880","44","23"
"400933881","40","34"
"400933882","16","17"
"400933883","48","22"
"400933884","19","27"
"400933885","14","45"
"400933886","41","9"
"400933887","17","19"
"400933888","53","28"
"400933889","27","23"
"400933890","57","35"
"400933891","35","10"
"400933892","9","15"
"400933893","45","7"
"400933894","20","52"
"400933895","24","40"
"400933896","45","7"
"400933897","68","21"
"400933898","7","42"
"400933899","29","26"
"400933900","37","38"
"400933901","12","52"
"400933902","34","27"
"400933903","14","35"
"400933904","24","10"
"400933905","39","38"
"400933906","24","10"
"400933907","34","37"
"400933908","34","23"
"400933909","45","16"
"400933910","24","10"
"400933911","27","42"
"400933912","31","17"
"400933913","40","17"
"400933914","33","10"
"400933915","50","22"
"400933916","24","31"
"400933917","50","17"
"400933918","28","20"
"400933919","55","14"
"400933920","21","44"
"400933921","56","0"
"400933922","21","28"
"400933923","42","14"
"400933924","36","7"
"400933925","42","13"
"400933926","24","31"
"400933927","31","10"
"400933928","10","30"
"400933929","17","45"
"400933930","28","31"
"400933931","45","48"
"400933932","26","14"
"400933933","22","38"
"400933934","7","38"
"400933935","17","44"
"400933936","45","21"
"400933937","10","34"
"400933938","24","42"
"400934488","42","24"
"400934489","45","48"
"400934490","38","16"
"400934491","55","19"
"400934492","56","7"
"400934493","59","24"
"400934494","63","0"
"400934495","41","51"
"400934496","56","10"
"400934497","31","24"
"400934498","10","17"
"400934499","41","44"
"400934500","27","45"
"400934501","55","7"
"400934502","16","31"
"400934503","7","44"
"400934504","56","0"
"400934505","56","20"
"400934506","34","20"
"400934507","42","30"
"400934508","56","14"
"400934509","21","59"
"400934510","56","36"
"400934511","27","24"
"400934512","52","45"
"400934513","59","16"
"400934514","34","56"
"400934515","41","49"
"400934516","31","44"
"400934517","14","41"
"400934518","24","27"
"400934519","33","20"
"400934520","34","41"
"400934521","7","17"
"400934522","31","24"
"400934523","31","38"
"400934524","40","34"
"400934525","19","65"
"400934526","59","16"
"400934527","45","0"
"400934528","24","29"
"400934529","46","35"
"400934530","6","26"
"400934531","13","31"
"400934532","43","0"
"400934533","36","38"
"400934534","35","42"
"400934535","10","13"
"400934536","20","30"
"400934537","39","50"
"400934538","7","38"
"400934539","49","27"
"400934540","14","7"
"400934541","9","38"
"400934542","20","16"
"400934543","35","42"
"400934544","52","62"
"400934545","24","7"
"400934546","42","27"
"400934547","23","28"
"400934548","42","49"
"400934549","24","38"
"400934550","38","20"
"400934551","13","23"
"400934552","40","45"
"400934553","3","41"
"400934554","14","28"
"400934555","3","27"
"400934556","45","22"
"400934557","23","27"
"400934558","20","19"
"400934559","58","17"
"400934560","59","31"
"400934561","21","17"
"400934562","21","17"
"400934563","38","7"
"400934564","12","49"
"400934565","21","16"
"400934566","35","21"
"400934567","28","27"
"400934568","31","28"
"400934569","0","21"
"400934570","64","6"
"400934571","52","49"
"400934572","13","14"
"400934573","49","16"
"400934574","20","49"
"400934575","18","38"
"400934576","52","17"
"400934577","10","33"
"400934578","49","14"
"400934579","35","14"
"400934580","48","37"
"400934581","41","8"
"400934582","24","17"
"400934583","38","20"
"400935229","21","49"
"400935230","17","7"
"400935231","59","10"
"400935232","24","21"
"400935233","24","3"
"400935234","35","10"
"400935235","43","36"
"400935236","31","20"
"400935237","52","0"
"400935238","28","35"
"400935239","44","21"
"400935240","41","17"
"400935241","20","7"
"400935242","63","17"
"400935243","36","14"
"400935244","28","14"
"400935245","33","14"
"400935246","13","16"
"400935247","37","31"
"400935248","37","16"
"400935249","17","3"
"400935250","14","30"
"400935251","62","24"
"400935252","49","31"
"400935253","77","21"
"400935254","35","32"
"400935255","31","0"
"400935256","30","35"
"400935257","7","62"
"400935258","16","19"
"400935259","20","30"
"400935260","42","24"
"400935261","56","23"
"400935262","37","3"
"400935263","13","19"
"400935264","42","35"
"400935265","14","48"
"400935266","63","7"
"400935267","47","44"
"400935268","33","20"
"400935269","16","63"
"400935270","48","45"
"400935271","41","21"
"400935272","54","16"
"400935273","13","49"
"400935274","52","23"
"400935275","48","16"
"400935276","20","17"
"400935277","24","30"
"400935278","37","35"
"400935279","20","30"
"400935280","58","34"
"400935281","10","37"
"400935282","58","27"
"400935283","45","7"
"400935284","30","27"
"400935285","34","24"
"400935286","27","23"
"400935287","45","24"
"400935288","7","42"
"400935289","42","45"
"400935290","38","10"
"400935291","20","23"
"400935292","10","33"
"400935293","38","7"
"400935294","37","3"
"400935295","47","30"
"400935296","13","7"
"400935297","28","27"
"400935298","33","36"
"400935299","49","7"
"400935300","44","45"
"400935301","10","30"
"400935302","31","14"
"400935303","28","0"
"400935304","14","15"
"400935305","58","37"
"400935306","17","48"
"400935307","44","23"
"400935308","44","28"
"400935309","41","20"
"400935310","48","17"
"400935311","49","35"
"400935312","41","30"
"400935313","38","3"
"400935314","37","23"
"400935315","24","21"
"400935316","30","22"
"400935317","49","28"
"400935318","44","37"
"400935319","24","38"
"400935320","25","33"
"400935321","48","28"
"400935322","24","40"
"400935323","28","23"
"400935324","33","30"
"400935325","17","14"
"400935326","30","27"
"400935327","69","10"
"400935328","42","30"
"400935329","34","13"
"400935330","41","14"
"400935347","17","34"
"400935348","31","14"
"400935349","6","40"
"400935351","31","14"
"400935352","29","13"
"400935353","34","3"
"400935354","17","21"
"400935355","49","7"
"400935356","56","0"
"400935357","65","0"
"400935359","52","17"
"400935360","19","21"
"400935361","10","38"
"400935362","27","17"
"400935363","54","21"
"400935364","10","28"
"400935365","6","28"
"400935366","17","10"
"400935367","24","31"
"400935368","45","14"
"400935369","0","56"
"400935370","33","24"
"400935371","45","16"
"400935372","10","14"
"400935373","17","38"
"400935374","7","31"
"400935375","62","14"
"400935376","31","17"
"400935377","21","37"
"400935378","24","35"
"400935379","20","27"
"400935380","27","30"
"400935381","14","56"
"400935382","17","9"
"400935383","17","9"
"400935384","24","17"
"400935385","17","10"
"400935386","42","13"
"400935387","14","12"
"400935388","38","13"
"400935389","39","31"
"400935390","10","24"
"400935391","17","10"
"400935392","42","39"
"400935393","35","14"
"400935394","39","38"
"400935395","24","25"
"400935396","17","45"
"400935397","55","24"
"400935398","33","10"
"400935399","27","24"
"400935400","24","31"
"400935401","29","10"
"400935402","31","24"
"400935403","14","24"
"400935404","10","35"
"400935405","54","21"
"400935406","23","13"
"400935407","48","3"
"400935408","35","6"
"400935409","38","14"
"400935410","41","0"
"400935411","15","24"
"400935412","17","7"
"400935413","39","0"
"400935414","52","14"
"400935415","56","44"
"400935416","24","10"
"400935417","14","56"
"400935418","7","42"
"400935419","3","66"
"400935420","20","31"
"400935421","0","31"
"400935422","31","24"
"400935423","7","40"
"400937445","51","7"
"400937446","20","23"
"400937447","56","3"
"400937448","60","7"
"400937449","41","13"
"400937450","28","21"
"400937451","50","7"
"400937452","28","10"
"400937453","10","34"
"400937455","37","10"
"400937456","35","47"
"400937458","37","20"
"400937459","23","30"
"400937460","27","0"
"400937461","21","47"
"400937464","23","53"
"400937465","49","16"
"400937466","41","17"
"400937467","38","18"
"400937468","17","64"
"400937469","46","10"
"400937470","34","7"
"400937471","17","27"
"400937472","21","27"
"400937473","35","17"
"400937474","42","3"
"400937475","52","30"
"400937477","38","0"
"400937478","19","20"
"400937479","6","31"
"400937480","28","8"
"400937481","17","31"
"400937482","19","26"
"400937483","33","7"
"400937484","55","10"
"400937485","33","25"
"400937486","42","10"
"400937487","39","25"
"400937488","10","23"
"400937489","28","14"
"400937490","28","21"
"400937491","27","24"
"400937493","27","24"
"400937494","42","45"
"400937495","10","17"
"400937496","14","20"
"400937497","17","35"
