"Id","HomePoints","AwayPoints"
"400547640","7","37"
"400547641","10","35"
"400547642","24","26"
"400547643","52","7"
"400547644","7","27"
"400547645","63","0"
"400547646","36","31"
"400547647","38","31"
"400547648","45","0"
"400547649","19","16"
"400547650","33","23"
"400547651","47","0"
"400547652","42","35"
"400547653","43","6"
"400547654","17","24"
"400547655","24","31"
"400547656","21","38"
"400547657","7","52"
"400547658","33","25"
"400547659","58","34"
"400547660","38","10"
"400547661","21","38"
"400547662","21","28"
"400547663","17","49"
"400547664","35","20"
"400547665","50","21"
"400547666","17","14"
"400547667","41","7"
"400547668","31","24"
"400547669","70","41"
"400547670","36","17"
"400547671","6","58"
"400547672","59","0"
"400547673","47","13"
"400547674","50","28"
"400547675","10","36"
"400547676","24","3"
"400547677","0","56"
"400547678","27","10"
"400547679","31","6"
"400547680","34","37"
"400547682","12","17"
"400547683","14","41"
"400547684","45","24"
"400547685","42","17"
"400547686","31","24"
"400547687","55","34"
"400547688","12","3"
"400547689","17","28"
"400547690","24","28"
"400547691","35","24"
"400547692","20","13"
"400547693","3","41"
"400547694","31","10"
"400547695","30","38"
"400547696","31","21"
"400547697","34","17"
"400547698","34","14"
"400547699","10","48"
"400547700","14","38"
"400547701","40","20"
"400547702","37","29"
"400547703","20","10"
"400547704","3","27"
"400547705","35","21"
"400547706","24","31"
"400547708","38","28"
"400547709","31","7"
"400547710","54","46"
"400547711","7","38"
"400547712","13","14"
"400547713","30","13"
"400547714","53","7"
"400547715","0","41"
"400547716","34","6"
"400547717","38","28"
"400547718","31","20"
"400547719","0","16"
"400547720","32","49"
"400547721","9","35"
"400547722","6","14"
"400547723","41","10"
"400547724","30","32"
"400547725","38","31"
"400547726","20","27"
"400547727","3","10"
"400547728","7","30"
"400547729","20","30"
"400547730","37","31"
"400547731","40","10"
"400547732","21","24"
"400547733","14","30"
"400547734","13","17"
"400547735","17","23"
"400547736","31","33"
"400547737","19","38"
"400547738","20","17"
"400547739","28","7"
"400547740","45","21"
"400547741","73","7"
"400547742","23","17"
"400547743","50","35"
"400547744","41","0"
"400547745","23","17"
"400547746","16","6"
"400547747","20","34"
"400547748","28","6"
"400547749","28","0"
"400547750","35","17"
"400547751","52","13"
"400547752","17","34"
"400547753","41","3"
"400547754","22","10"
"400547755","25","31"
"400547756","20","13"
"400547757","48","51"
"400547758","10","27"
"400547759","16","17"
"400547760","20","45"
"400547761","41","21"
"400547762","31","37"
"400547763","37","12"
"400547764","41","56"
"400547765","43","3"
"400547766","20","38"
"400547767","31","27"
"400547768","31","42"
"400547769","34","20"
"400547770","26","30"
"400547771","24","19"
"400547772","38","19"
"400547773","42","38"
"400547774","24","27"
"400547775","48","43"
"400547776","28","56"
"400547777","35","10"
"400547778","23","56"
"400547779","24","30"
"400547780","66","21"
"400547781","23","21"
"400547782","3","34"
"400547783","6","28"
"400547784","28","31"
"400547785","44","40"
"400547786","31","13"
"400547787","41","7"
"400547788","41","20"
"400547789","41","31"
"400547790","28","17"
"400547791","6","30"
"400547792","47","20"
"400547793","30","13"
"400547794","23","35"
"400547795","56","29"
"400547796","31","27"
"400547797","17","34"
"400547798","50","43"
"400547799","27","28"
"400547800","40","35"
"400547801","7","35"
"400547802","24","23"
"400547803","46","34"
"400547804","42","0"
"400547805","30","18"
"400547806","17","24"
