"Id","HomePoints","AwayPoints"
"401110720","42","3"
"401110721","20","13"
"401110722","27","21"
"401110723","24","20"
"401110724","38","24"
"401110725","55","3"
"401110726","15","10"
"401110727","28","38"
"401110728","37","31"
"401110729","24","20"
"401110730","30","38"
"401110731","41","7"
"401110732","6","30"
"401110773","62","10"
"401110774","24","6"
"401110775","45","0"
"401110776","63","17"
"401110777","38","17"
"401110778","38","45"
"401110779","31","17"
"401110780","38","15"
"401110781","38","7"
"401110782","72","10"
"401110783","26","29"
"401110784","24","10"
"401110785","42","24"
"401110786","55","34"
"401110787","55","16"
"401110788","55","0"
"401110789","21","29"
"401110790","65","14"
"401110791","40","29"
"401110792","24","31"
"401110793","50","0"
"401110794","23","47"
"401110795","45","0"
"401110796","62","3"
"401110797","49","7"
"401110798","24","31"
"401110799","34","3"
"401110800","23","17"
"401110801","20","28"
"401110802","28","13"
"401110803","34","14"
"401110804","20","28"
"401110805","38","66"
"401110806","59","31"
"401110807","27","31"
"401110808","56","23"
"401110809","38","0"
"401110810","24","7"
"401110811","24","18"
"401110812","24","13"
"401110813","42","6"
"401110814","31","6"
"401110815","42","10"
"401110816","14","43"
"401110817","17","20"
"401110818","24","20"
"401110819","42","28"
"401110820","38","27"
"401110821","20","10"
"401110822","28","47"
"401110823","10","34"
"401110824","35","13"
"401110825","10","51"
"401110826","21","0"
"401110827","17","24"
"401110828","13","36"
"401110829","27","38"
"401110830","21","14"
"401110831","48","7"
"401110832","29","7"
"401110833","23","20"
"401110834","41","21"
"401110835","49","30"
"401110836","24","54"
"401110837","20","14"
"401110838","17","24"
"401110839","24","7"
"401110840","30","7"
"401110841","45","14"
"401110842","41","46"
"401110843","19","45"
"401110844","56","0"
"401110845","27","0"
"401110846","13","17"
"401110847","41","3"
"401110848","15","20"
"401110849","14","21"
"401110850","37","58"
"401110851","7","38"
"401110852","6","23"
"401110853","30","6"
"401110854","14","38"
"401110855","66","3"
"401110856","52","0"
"401110857","19","13"
"401110858","50","7"
"401110859","56","20"
"401110860","45","7"
"401110861","20","24"
"401110862","38","0"
"401110863","21","20"
"401110864","14","24"
"401110865","48","45"
"401110866","40","17"
"401110867","7","52"
"401110868","45","13"
"401110869","50","7"
"401110870","3","38"
"401110871","28","10"
"401111653","52","14"
"401111654","7","38"
"401112073","56","17"
"401112074","63","14"
"401112075","13","21"
"401112076","23","21"
"401112077","12","31"
"401112078","33","30"
"401112079","27","45"
"401112080","17","14"
"401112081","23","29"
"401112082","31","34"
"401112083","24","10"
"401112084","6","61"
"401112085","29","26"
"401112086","17","18"
"401112087","72","20"
"401112088","49","24"
"401112089","14","38"
"401112090","24","34"
"401112091","27","34"
"401112092","42","41"
"401112093","23","21"
"401112094","41","31"
"401112095","27","17"
"401112096","24","17"
"401112097","7","12"
"401112098","24","48"
"401112099","24","29"
"401112100","51","14"
"401112101","20","45"
"401112102","50","48"
"401112103","37","34"
"401112104","10","38"
"401112105","31","13"
"401112106","49","14"
"401112107","52","0"
"401112108","26","13"
"401112109","24","17"
"401112110","48","41"
"401112111","27","24"
"401112112","20","24"
"401112113","27","30"
"401112114","49","31"
