"Id","HomePoints","AwayPoints"
"400603827","35","17"
"400603828","48","13"
"400603829","31","24"
"400603830","61","13"
"400603831","51","14"
"400603832","40","33"
"400603834","34","3"
"400603835","76","3"
"400603836","16","34"
"400603838","38","17"
"400603839","12","14"
"400603840","17","13"
"400603841","34","0"
"400603842","21","28"
"400603843","9","17"
"400603844","28","27"
"400603845","48","6"
"400603846","21","13"
"400603847","27","16"
"400603848","31","14"
"400603849","24","34"
"400603850","37","43"
"400603851","24","35"
"400603852","52","20"
"400603853","9","14"
"400603854","45","21"
"400603855","62","13"
"400603856","9","6"
"400603857","55","10"
"400603858","44","27"
"400603859","47","7"
"400603860","37","10"
"400603861","12","16"
"400603862","20","27"
"400603863","27","20"
"400603864","31","24"
"400603865","19","21"
"400603866","73","21"
"400603867","22","26"
"400603868","24","31"
"400603869","56","23"
"400603870","14","31"
"400603871","63","28"
"400603872","19","27"
"400603873","27","3"
"400603874","34","0"
"400603875","21","52"
"400603876","35","28"
"400603877","35","21"
"400603878","38","10"
"400603879","10","38"
"400603880","34","27"
"400603881","44","22"
"400603882","13","17"
"400603883","24","10"
"400603884","20","24"
"400603885","30","17"
"400603886","19","14"
"400603887","54","46"
"400603888","48","20"
"400603889","42","16"
"400603890","23","3"
"400603891","10","3"
"400603892","9","6"
"400603893","35","28"
"400603894","37","24"
"400603895","45","20"
"400603896","19","10"
"400603897","23","41"
"400603898","27","30"
"400603899","27","14"
"400603900","45","17"
"400603901","3","21"
"400603902","52","3"
"400603903","45","24"
"400603904","38","31"
"400603905","30","16"
"400603906","9","7"
"400603907","27","3"
"400603908","52","53"
"400603909","27","24"
"400603910","10","26"
"400603911","13","31"
"400603912","28","3"
"400603913","13","29"
"400603914","2","27"
"400603915","7","13"
"400603916","24","38"
"400603917","19","7"
"400603918","27","38"
"400603919","32","37"
"400603920","53","28"
"400603921","56","6"
"400603922","50","51"
"400603923","56","34"
"400603924","20","14"
"400603925","23","17"
"400603926","58","10"
"400603927","8","19"
"400603928","38","17"
"400603929","22","23"
"400603930","0","25"
"400603931","13","20"
"400603932","14","31"
"400603933","6","31"
"400603934","14","24"
"400603935","24","0"
"400603936","41","17"
"400603937","21","17"
"400756882","42","32"
"400756883","24","17"
"400756884","55","6"
"400756886","61","42"
"400756887","26","7"
"400756888","16","13"
"400756889","17","24"
"400756890","73","14"
"400756891","16","6"
"400756892","20","44"
"400756893","35","21"
"400756894","7","37"
"400756895","69","6"
"400756896","41","3"
"400756897","24","3"
"400756898","49","10"
"400756899","59","16"
"400756900","45","0"
"400756901","49","21"
"400756902","45","37"
"400756903","47","0"
"400756904","34","16"
"400756905","24","42"
"400756906","76","0"
"400756907","41","10"
"400756908","55","0"
"400756910","65","10"
"400756911","31","34"
"400756912","20","44"
"400756913","53","14"
"400756914","35","0"
"400756915","7","24"
"400756916","30","17"
"400756917","27","34"
"400756918","42","3"
"400756919","17","20"
"400756920","0","14"
"400756921","10","19"
"400756922","30","22"
"400756923","36","33"
"400756924","48","14"
"400756925","14","38"
"400756926","27","24"
"400756927","30","27"
"400756928","35","29"
"400756929","24","51"
"400756930","14","17"
"400756931","14","56"
"400756932","17","14"
"400756933","34","20"
"400756934","45","3"
"400756935","41","14"
"400756936","13","63"
"400756937","35","28"
"400756938","24","31"
"400756939","9","7"
"400756940","24","22"
"400756941","16","24"
"400756942","31","38"
"400756943","13","20"
"400756945","13","17"
"400756946","28","13"
"400756947","0","3"
"400756948","43","24"
"400756949","3","44"
"400756950","29","24"
"400756951","26","19"
"400756952","45","24"
"400756953","34","17"
"400756954","41","21"
"400756955","28","31"
"400756956","30","20"
"400756957","50","14"
"400756958","44","38"
"400756959","17","14"
"400756960","0","58"
"400756961","43","45"
"400756962","22","16"
"400756963","26","13"
"400756964","17","35"
"400756965","20","23"
"400756966","19","26"
"400756967","19","20"
"400756968","10","26"
"400756969","41","56"
"400756970","27","30"
"400756971","45","21"
"400756972","27","21"
"400756973","8","24"
"400756974","23","13"
"400756975","66","31"
"400756976","41","17"
"400756977","27","21"
"400756978","30","42"
"400756979","21","23"
"400756980","27","37"
"400756981","13","31"
"400756982","34","17"
"400756983","38","31"
"400756984","59","21"
"400756985","28","7"
"400756986","19","16"
"400756987","33","13"
"400756988","42","34"
"400756989","52","13"
"400756990","38","21"
"400756991","45","34"
"400756992","27","30"
"400756993","42","29"
"400756994","24","29"
"400756995","20","17"
"400756996","21","27"
"400756997","34","45"
"400756998","20","23"
"400757014","59","9"
"400757015","3","37"
"400757016","48","14"
"400757018","31","28"
"400757019","35","7"
"400757020","49","0"
"400757021","34","37"
"400757022","35","7"
"400757023","31","7"
"400757024","77","13"
"400757026","31","41"
"400757027","24","23"
"400757028","24","27"
"400757029","24","45"
"400757030","61","28"
"400757031","35","21"
"400757032","31","17"
"400757033","31","14"
"400757034","44","45"
"400757035","24","42"
"400757036","30","56"
"400757037","14","42"
"400757038","48","0"
"400757039","20","62"
"400757040","24","30"
"400757041","55","17"
"400757042","23","38"
"400757043","24","41"
"400757044","34","28"
"400757045","12","17"
"400757046","44","7"
"400757047","48","23"
"400757048","30","24"
"400757049","38","45"
"400757050","56","35"
"400757051","31","38"
"400757052","34","18"
"400757053","41","31"
"400757054","20","26"
"400757055","52","31"
"400757056","40","24"
"400757057","42","45"
"400757058","42","24"
"400757059","13","17"
"400757060","31","14"
"400757061","55","61"
"400757062","49","3"
"400757063","21","27"
"400757064","35","31"
"400757065","27","12"
"400757066","28","30"
"400757067","38","30"
"400757068","38","24"
"400757069","0","41"
"400757070","10","42"
"400757071","23","34"
"400757072","44","28"
"400757073","24","27"
"400757074","37","30"
"400757075","27","17"
"400757076","27","31"
"400757077","36","38"
"400757078","54","24"
"400757079","52","37"
"400757080","48","28"
"400757081","9","17"
"400757082","27","3"
"400757083","7","52"
"400757084","35","22"
"400757085","52","42"
"400757086","45","10"
"400757087","48","46"
"400757088","40","21"
"400757089","20","14"
"400757090","38","36"
"400760491","35","37"
"400760492","22","17"
"400760493","36","58"
"400760494","20","14"
"400760495","21","14"
"400760496","38","31"
"400760497","20","3"
"400760498","31","34"
"400760499","21","31"
"400760500","21","17"
"400763398","17","23"
"400763399","13","24"
"400763400","31","7"
