"Id","HomePoints","AwayPoints"
"400868876","55","7"
"400868877","40","13"
"400868878","35","24"
"400868879","42","45"
"400868880","49","7"
"400868881","35","34"
"400868882","22","62"
"400868883","45","24"
"400868884","21","42"
"400868885","54","35"
"400868886","24","21"
"400868887","20","25"
"400868888","42","3"
"400868889","41","20"
"400868910","13","28"
"400868911","31","14"
"400868912","14","66"
"400868913","23","20"
"400868914","13","6"
"400868915","62","7"
"400868916","18","35"
"400868917","13","21"
"400868918","12","31"
"400868919","44","6"
"400868920","60","3"
"400868921","21","17"
"400868922","16","18"
"400868923","20","19"
"400868924","14","17"
"400868925","35","32"
"400868926","55","53"
"400868927","14","31"
"400868928","28","21"
"400868930","3","20"
"400868931","37","7"
"400868932","51","9"
"400868933","28","10"
"400868946","50","47"
"400868947","39","10"
"400868948","28","36"
"400868949","35","38"
"400868950","33","50"
"400868951","10","3"
"400868952","10","17"
"400868953","30","27"
"400868954","28","27"
"400868955","31","34"
"400868956","45","27"
"400868957","24","7"
"400868958","7","26"
"400868959","21","13"
"400868960","35","47"
"400868961","24","31"
"400868962","36","16"
"400868963","28","56"
"400868964","34","28"
"400868965","34","10"
"400868966","52","31"
"400868967","46","40"
"400868968","10","13"
"400868969","52","6"
"400868970","21","20"
"400868971","13","19"
"400868972","24","33"
"400868973","35","44"
"400868974","16","14"
"400868975","20","21"
"400868976","26","11"
"400868977","20","13"
"400868978","31","24"
"400868979","45","34"
"400868980","38","10"
"400868981","38","41"
"400868982","51","14"
"400868983","45","7"
"400868984","26","24"
"400868985","34","13"
"400868986","38","13"
"400868987","27","14"
"400868988","61","21"
"400868989","45","24"
"400868990","67","0"
"400868991","47","24"
"400868992","42","3"
"400868993","16","29"
"400868994","32","0"
"400868995","62","42"
"400868996","23","20"
"400868997","43","48"
"400868998","27","28"
"400868999","20","15"
"400869000","28","19"
"400869001","38","7"
"400869002","48","0"
"400869003","18","13"
"400869004","17","10"
"400869005","45","14"
"400869006","79","0"
"400869007","38","28"
"400869008","45","24"
"400869009","30","31"
"400869010","34","6"
"400869011","52","10"
"400869012","58","7"
"400869013","31","34"
"400869014","42","7"
"400869015","48","28"
